id,start_utc,duration_minutes,home,away,matchup,event_name,short_name,venue,city,country,broadcasts,source_url
760436,2026-06-18T02:00Z,120,Uzbekistan,Colombia,Uzbekistan vs Colombia,Colombia at Uzbekistan,COL @ UZB,Estadio Banorte,Mexico City,Mexico,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760436/colombia-uzbekistan
760438,2026-06-18T16:00Z,120,Czechia,South Africa,Czechia vs South Africa,South Africa at Czechia,RSA @ CZE,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760438/south-africa-czechia
760439,2026-06-18T19:00Z,120,Switzerland,Bosnia-Herzegovina,Switzerland vs Bosnia-Herzegovina,Bosnia-Herzegovina at Switzerland,BIH @ SUI,SoFi Stadium,"Inglewood, California",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760439/bosnia-herzegovina-switzerland
760440,2026-06-18T22:00Z,120,Canada,Qatar,Canada vs Qatar,Qatar at Canada,QAT @ CAN,BC Place,Vancouver,Canada,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760440/qatar-canada
760441,2026-06-19T01:00Z,120,Mexico,South Korea,Mexico vs South Korea,South Korea at Mexico,KOR @ MEX,Estadio Akron,Guadalajara,Mexico,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760441/south-korea-mexico
760442,2026-06-19T19:00Z,120,United States,Australia,United States vs Australia,Australia at United States,AUS @ USA,Lumen Field,"Seattle, Washington",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760442/australia-united-states
760445,2026-06-19T22:00Z,120,Scotland,Morocco,Scotland vs Morocco,Morocco at Scotland,MAR @ SCO,Gillette Stadium,"Foxborough, Massachusetts",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760445/morocco-scotland
760444,2026-06-20T00:30Z,120,Brazil,Haiti,Brazil vs Haiti,Haiti at Brazil,HAI @ BRA,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760444/haiti-brazil
760443,2026-06-20T03:00Z,120,Türkiye,Paraguay,Türkiye vs Paraguay,Paraguay at Türkiye,PAR @ TUR,Levi's Stadium,"Santa Clara, California",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760443/paraguay-turkiye
760447,2026-06-20T17:00Z,120,Netherlands,Sweden,Netherlands vs Sweden,Sweden at Netherlands,SWE @ NED,NRG Stadium,"Houston, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760447/sweden-netherlands
760448,2026-06-20T20:00Z,120,Germany,Ivory Coast,Germany vs Ivory Coast,Ivory Coast at Germany,CIV @ GER,BMO Field,Toronto,Canada,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760448/ivory-coast-germany
760446,2026-06-21T00:00Z,120,Ecuador,Curaçao,Ecuador vs Curaçao,Curaçao at Ecuador,CUW @ ECU,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760446/curacao-ecuador
760449,2026-06-21T04:00Z,120,Tunisia,Japan,Tunisia vs Japan,Japan at Tunisia,JPN @ TUN,Estadio BBVA,Guadalupe,Mexico,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760449/japan-tunisia
760453,2026-06-21T16:00Z,120,Spain,Saudi Arabia,Spain vs Saudi Arabia,Saudi Arabia at Spain,KSA @ ESP,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760453/saudi-arabia-spain
760451,2026-06-21T19:00Z,120,Belgium,Iran,Belgium vs Iran,Iran at Belgium,IRN @ BEL,SoFi Stadium,"Inglewood, California",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760451/iran-belgium
760450,2026-06-21T22:00Z,120,Uruguay,Cape Verde,Uruguay vs Cape Verde,Cape Verde at Uruguay,CPV @ URU,Hard Rock Stadium,"Miami Gardens, Florida",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760450/cape-verde-uruguay
